delta_percentile,rating_level,game_type,Apertura,Conteggio
0-25,advanced,blitz,Alekhine Defense,108
0-25,advanced,blitz,Alekhine Defense: Balogh Variation,2
0-25,advanced,blitz,Alekhine Defense: Brooklyn Variation,14
0-25,advanced,blitz,Alekhine Defense: Exchange Variation,46
0-25,advanced,blitz,Alekhine Defense: Four Pawns Attack,22
0-25,advanced,blitz,"Alekhine Defense: Four Pawns Attack, Fianchetto Variation",8
0-25,advanced,blitz,"Alekhine Defense: Four Pawns Attack, Main Line",3
0-25,advanced,blitz,"Alekhine Defense: Four Pawns Attack, Trifunovic Variation",4
0-25,advanced,blitz,"Alekhine Defense: Hunt Variation, Lasker Simul Gambit",3
0-25,advanced,blitz,Alekhine Defense: Krejcik Variation,3
0-25,advanced,blitz,Alekhine Defense: Maróczy Variation,21
0-25,advanced,blitz,"Alekhine Defense: Modern Variation, Alburt Variation",11
0-25,advanced,blitz,"Alekhine Defense: Modern Variation, Alekhine Gambit",2
0-25,advanced,blitz,"Alekhine Defense: Modern Variation, Larsen Variation",5
0-25,advanced,blitz,"Alekhine Defense: Modern Variation, Larsen-Haakert Variation",3
0-25,advanced,blitz,"Alekhine Defense: Modern Variation, Main Line",36
0-25,advanced,blitz,"Alekhine Defense: Modern Variation, Panov Variation",1
0-25,advanced,blitz,"Alekhine Defense: Modern Variation, Schmid Variation",3
0-25,advanced,blitz,Alekhine Defense: Mokele Mbembe,3
0-25,advanced,blitz,"Alekhine Defense: Mokele Mbembe, Vavra Defense",2
0-25,advanced,blitz,Alekhine Defense: Normal Variation,22
0-25,advanced,blitz,Alekhine Defense: O'Sullivan Gambit,1
0-25,advanced,blitz,Alekhine Defense: Scandinavian Variation,99
0-25,advanced,blitz,"Alekhine Defense: Scandinavian Variation, Geschev Gambit",22
0-25,advanced,blitz,Alekhine Defense: Spielmann Gambit,1
0-25,advanced,blitz,Alekhine Defense: Steiner Variation,1
0-25,advanced,blitz,Alekhine Defense: Sämisch Attack,5
0-25,advanced,blitz,Alekhine Defense: Two Pawns Attack,36
0-25,advanced,blitz,"Alekhine Defense: Two Pawns Attack, Lasker Variation",14
0-25,advanced,blitz,"Alekhine Defense: Two Pawns Attack, Tate Variation",8
0-25,advanced,blitz,Amar Opening,4
0-25,advanced,blitz,Amazon Attack: Siberian Attack,1
0-25,advanced,blitz,Anderssen's Opening,27
0-25,advanced,blitz,Australian Defense,2
0-25,advanced,blitz,Barnes Defense,5
0-25,advanced,blitz,Barnes Opening,22
0-25,advanced,blitz,Barnes Opening: Hammerschlag,1
